admin1,admin1_name,admin2,admin2_name,admin2_upper,admin1_upper
boucle_du_mouhoun,Boucle du Mouhoun,bale,Balé,BALE,BOUCLE DU MOUHOUN
boucle_du_mouhoun,Boucle du Mouhoun,banwa,Banwa,BANWA,BOUCLE DU MOUHOUN
boucle_du_mouhoun,Boucle du Mouhoun,kossi,Kossi,KOSSI,BOUCLE DU MOUHOUN
boucle_du_mouhoun,Boucle du Mouhoun,mouhoun,Mouhoun,MOUHOUN,BOUCLE DU MOUHOUN
boucle_du_mouhoun,Boucle du Mouhoun,nayala,Nayala,NAYALA,BOUCLE DU MOUHOUN
boucle_du_mouhoun,Boucle du Mouhoun,sourou,Sourou,SOUROU,BOUCLE DU MOUHOUN
cascades,Cascades,comoe,Comoé,COMOE,CASCADES
cascades,Cascades,leraba,Léraba,LERABA,CASCADES
centre,Centre,kadiogo,Kadiogo,KADIOGO,CENTRE
centre_est,Centre-Est,boulgou,Boulgou,BOULGOU,CENTRE-EST
centre_est,Centre-Est,koulpelogo,Koulpélogo,KOULPELOGO,CENTRE-EST
centre_est,Centre-Est,kouritenga,Kouritenga,KOURITENGA,CENTRE-EST
centre_nord,Centre-Nord,bam,Bam,BAM,CENTRE-NORD
centre_nord,Centre-Nord,namentenga,Namentenga,NAMENTENGA,CENTRE-NORD
centre_nord,Centre-Nord,sanmatenga,Sanmatenga,SANMATENGA,CENTRE-NORD
centre_ouest,Centre-Ouest,boulkiemde,Boulkiemdé,BOULKIEMDE,CENTRE-OUEST
centre_ouest,Centre-Ouest,sanguie,Sanguié,SANGUIE,CENTRE-OUEST
centre_ouest,Centre-Ouest,sissili,Sissili,SISSILI,CENTRE-OUEST
centre_ouest,Centre-Ouest,ziro,Ziro,ZIRO,CENTRE-OUEST
centre_sud,Centre-Sud,bazega,Bazèga,BAZEGA,CENTRE-SUD
centre_sud,Centre-Sud,nahouri,Nahouri,NAHOURI,CENTRE-SUD
centre_sud,Centre-Sud,zoundweogo,Zoundwéogo,ZOUNDWEOGO,CENTRE-SUD
est,Est,gnagna,Gnagna,GNAGNA,EST
est,Est,gourma,Gourma,GOURMA,EST
est,Est,komondjari,Komondjari,KOMONDJARI,EST
est,Est,kompienga,Kompienga,KOMPIENGA,EST
est,Est,tapoa,Tapoa,TAPOA,EST
hauts_bassins,Hauts-Bassins,houet,Houet,HOUET,HAUTS-BASSINS
hauts_bassins,Hauts-Bassins,kenedougou,Kénédougou,KENEDOUGOU,HAUTS-BASSINS
hauts_bassins,Hauts-Bassins,tuy,Tuy,TUY,HAUTS-BASSINS
nord,Nord,loroum,Loroum,LOROUM,NORD
nord,Nord,passore,Passoré,PASSORE,NORD
nord,Nord,yatenga,Yatenga,YATENGA,NORD
nord,Nord,zondoma,Zondoma,ZONDOMA,NORD
plateau_central,Plateau-Central,ganzourgou,Ganzourgou,GANZOURGOU,PLATEAU-CENTRAL
plateau_central,Plateau-Central,kourweogo,Kourwéogo,KOURWEOGO,PLATEAU-CENTRAL
plateau_central,Plateau-Central,oubritenga,Oubritenga,OUBRITENGA,PLATEAU-CENTRAL
sahel,Sahel,oudalan,Oudalan,OUDALAN,SAHEL
sahel,Sahel,seno,Séno,SENO,SAHEL
sahel,Sahel,soum,Soum,SOUM,SAHEL
sahel,Sahel,yagha,Yagha,YAGHA,SAHEL
sud_ouest,Sud-Ouest,bougouriba,Bougouriba,BOUGOURIBA,SUD-OUEST
sud_ouest,Sud-Ouest,ioba,Ioba,IOBA,SUD-OUEST
sud_ouest,Sud-Ouest,poni,Poni,PONI,SUD-OUEST
