admin2,admin2_name,repres_ad2
bale,Balé,ens
banwa,Banwa,hote
kossi,Kossi,ens
comoe,Comoé,pdi
mouhoun,Mouhoun,hote
nayala,Nayala,hote
sourou,Sourou,ens
boulgou,Boulgou,hote
koulpelogo,Koulpélogo,hote
kouritenga,Kouritenga,ens
bam,Bam,ens
namentenga,Namentenga,ens
sanmatenga,Sanmatenga,ens
gnagna,Gnagna,hote
gourma,Gourma,ens
komondjari,Komondjari,ens
kompienga,Kompienga,hote
tapoa,Tapoa,ens
loroum,Loroum,ens
passore,Passoré,ens
yatenga,Yatenga,ens
zondoma,Zondoma,hote
oudalan,Oudalan,ens
seno,Séno,ens
soum,Soum,ens
yagha,Yagha,ens
